FOSSIL,AFFINITIES,Age Max,Age Min,Period,Region,Locality,FORMATION,Structure,Specimen,Collection,REFERENCE
Cyathea_inequilateralis,Cyathea_NW,47.8,33.9,Middle to Late Eocene,Alaska,"Localities 3846, 11160, 11162",Kushtaka Fm.,Sterile foliage,USNM 38665 (holotype),United States National Museum,Wolfe-1977 (google books)
Cyathea_juliverti,Cyathea,3.6,2.5,Tertiary (Pliocene),Colombia,Colombia,Palmas de la Mesa Fm.,Fertile foliage,"Coll. Boureau 3787, 3791, 3864, 3885, 3790",,Pons-1965
Cyathea_paleospora,Sphaeropteris,5.33,2.58,Pliocene,Australia,Bore 14747 at 216-218 ft.,Lachlan Fm,Spores,"Figs. 48-49, slide AM6469, coord. 72.7 x 33.9",Australian Museum,Martin-1976
Cyathea_pinnata,Cyathea_NW,47.8,41.2,Middle Eocene,North America,"Buckeye Flat, locality P3320",Chalk Bluffs flora,Sterile foliage,2143 (holotype),"U. C. Mus. Pal., Paleobot. Ser.",MacGinitie_1941
Cyathea_porospora,Sphaeropteris,5.33,2.58,Pliocene,Australia,,Lachlan Fm,Spores,"AM6464, 76.2, 40.4, figs 19-20",Australian Museum,Martin-1973
Cyathea_siwalika,Cyatheaceae,3.6,2.5,Pliocene-Pleistocene, India (eastern Himalaya),"Pampure district, Arunachal Pradesh",Kimin Fm.,Stem,CUH/PPL/IB7/TF/1 (holotype),"Herbarium and Museum of the Department of Botay, University of Calcutta (CUH)",Bera_etal-2014
Cyathea_sp,Cyathea,23.03,15.97,Lower Miocene,Central America,Panama,Culebra Fm.,Spores,"Pan core 456, slide 3, ESF M-16, 1-2-8, 9. Pan core 456, slide 3, ESF B-13, 304 ",Palynology collections at Kent State University,Graham-1988
Cyathea_sp_Graham,Cyathea,33.9,27.82,Lower Oligocene,Puerto Rico,Localities B and C (Lares and Collazo Quebrada),San Sebastian Formation,Spores,"C-43,15; ESF B-4","Palynology Laboratory, Kent State University",Graham_Jarzen-1979
Cyathea_type1,Cyathea_NW,23.3,2.58,Miocene-Pliocene,"Eastern Cordillera, Bolivia",Pislepampa locality of E.W. Berry,Pislepampa flora,Spores,"ESF E-42, 2",palynological collections at Kent State University,Graham_et al-2001
Cyathea_type2,Cyathea_NW,23.3,2.58,Miocene-Pliocene,"Eastern Cordillera, Bolivia",Pislepampa locality of E.W. Berry,Pislepampa flora,Spores,ESF E-34,palynological collections at Kent State University,Graham_et al-2001
Cyatheacidites_annulatus,Lophosoria,27.82,20.44,Oligocene-Early Miocene,Tasmania,Mt. Balfour,Balfour Sediments,"Fertile foliage, with sporangia and spores",Plate 1,?,Hill_etal-2001
Cyatheacidites_annulatus_Kerguelen,Lophosoria,23.03,5.333,Miocene,"Kerguelen, South Indian Ocean",Waterfall Gorge,,Spores,"Sample 85a. Neotype_ B411/8, L39/1, P181685.","British Australian New Zealand An arctic Research Expedition, 1929-1931 (BANZARE) Collection (Museum of Victoria)",Dettmann-1986
Cyatheacidites_archangelskyi,Lophosoria,113,100.5,Late Albian,Antartica,"1 k north of Lewis Hill, James Ross Island",Whiskey Bay Fm.,Spores,"Sample D3006.2; X220/3, f26/4, Y.4852; x220/3, X44/0, Y.4853.","Micropalaeontological collection of the Department of Geology and Mineralogy, University of Queensland",Dettmann-1986
Cyatheacidites_botuliformis,Lophosoria,83.6,72.1,Campanian,Antartica,"Lachman Crags, James Ross Island",,Spores,Sample 8665. Holotype: Y.4854,"Micropalaeontological collection of the Department of Geology and Mineralogy, University of Queensland",Dettmann-1986
Cyatheacidites_tectifera,Lophosoria,125,113,Late Aptian-Early Albian,Patagonia,"Tar, San Martín y Cardiel",Kachaike Fm.,Spores,,Colección Palinológica de la División Paleobotánica del Museo Argentino de Ciencias Naturales “B. Rivadavia,Archangelski_Llorens-2003
Cyatheales_indet_Vera,Cyatheales,125,113,Aptian,Antartica,"Rotch Dome, Byers Peninsula, South Shetland Islands",Cerro Negro Fm.,Stems,"BA PB 14977 (microscope slides BA Pb Pm 631-634), BA PB 14978 (microscope slides BA Pb Pm 635-637)","Museo Argentino de Ciencias Naturales “Bernardino R. Rivadavia”, División Paleobotánica",Vera-2015
Cyathidites_australis,Cyatheales,145,100.5,Lower Cretaceous,India,"Madhya Pradesh, 2-3 furlongs NE of Sehora (Sher River)",Jabalpur Series,Spores,SI No. 28724-13,,Dev-1961
Cyathidites_minor,Cyatheales,130,125,Barremian,North America,"Drewrys Bluff, James River, Virginia",Patuxent Fm.,Sporangia,"Slide St. 31B, coordinates 32.2-114.1; St. 26",,Brenner-1963
Cyathidites_patagonicus,Cyatheales,125,113,Late Aptian-Early Albian,Patagonia,"Tar, San Martín y Cardiel",Kachaike Fm.,Spores,"BA Pb Pal 5587, 5590, 5592, 5593, 5595 y 5601",Colección Palinológica de la División Paleobotánica del Museo Argentino de Ciencias Naturales “B. Rivadavia,Archangelski_Llorens-2003
Cyathocaulis_naktongensis,Cyatheaceae,133.9,130,Hauterivian,Korea,North Kyong Sang Province,,Stem,Specimen 2B (lectotype),University Museum of the University of Tokyo,Nishida-1989
Cyathocaulis_nihei-takagii,Cyatheaceae,130,112,Barremian-Aptian,Japan,Chiba,,Stem,1005,"Laboratory of Phylogenetic Botany, Faculty of Science, Chiba University",Nishida-1989
Cyathocaulis_yabei,Cyatheaceae,145,66,Cretaceous,Philipinnes,Mindoro Island,,Stem,,University Museum of the University of Tokyo,Nishida-1989
Cyathocaulis_yezopteroides,Cyatheaceae,85.8,83.5,Santoniana,Japan,"Horodatezawa, Tomamae-machi, Tomamae Province",Upper Yezo Group,Stem,NSM PP7558 (holotype),"National Science Museum Tokyo; Laboratory of Phylogenetic Botany, Faculty of Sciences, Chiba University",Nishida-1989
Cyathodendron_texanum,Thyrsopteridaceae,41,33,Late Eocene,North America,,Texas,,,"Arnold, C.A. 1945. Silicified plant remains from the Mes- ozoic and Tertiary of western North America. Mich. Acad. Sci., Arts and Letters 30:3-34. ",Arnold-1945
Cyathorachis_fujiana,Cyatheaceae,89.6,66,Upper Cretaceous (Senonian),Japan,"Oh-Yubari, Yubari City, Hokkaido",Upper Ezo Group,Stem,Specimen A (lectotype),University Museum of the University of Tokyo,Nishida-1981
Cyathorachis_yubariensis,Cyatheaceae,89.6,66,Upper Cretaceous (Senonian),Japan,"Oh-Yubari, Yubari City, Hokkaido",Upper Ezo Group,Stem,73715 (holotype),"Laboratory of Phylogenetic Botany, Faculty of Science, Chiba University",Nishida-1981
Cyathorachis_yudzuru-ogurae,Cyatheaceae,89.6,66,Upper Cretaceous (Senonian),Japan,"Ikushumbetsu, Mikasa City",Upper Ezo Group,Stem,Specimen B,University Museum of the University of Tokyo,Nishida-1981
Dentropteridium_cyatheoides,Cyatheaceae,23,3,Late Tertiary,Kenya,Mount Elgon,Volcanic agglomerate near Mount Elgon,Stem,v. 20739 ,British Museum (Natural History),Bancroft-1932
Dicksonia_bulbacea,Dicksonia/Calochlaena,99.6,66,Upper Cretaceous,Russia,"Yakutia, Tyung",Lindel Fm,Spores,ГИН АН СССР No. 3530/405,"Mining-Geolical Institute of Western Siberia, Academy os Sciences, USSR (?)",Bolochotinova_1959
Dicksonia_densa,Dicksonia/Calochlaena,99.6,66,Upper Cretaceous,Russia,"Yakutia, Tyung",Linden and Timerdemy Fm (border),Spores,"стр. 31, табл. 111, рис. 11","Mining-Geolical Institute of Western Siberia, Academy os Sciences, USSR (?)",Bolochotinova_1959
